Index	AvgScore	Score	NormalizedClaim	Text
244	0.2912	0.0000	Comedian Tim Allen wrote pro-Trump post	The cost of President Trump's wall is less than the cost of the Obamacare website.
245	0.2903	0.0781	Robredo wrongly computed the number of people allowed during her NGO launch	Leni's math can accommodate 3,200 people in 8 hours, with a capacity of 400 people per hour.
246	0.2894	0.0485	Street poster about coronavirus authorised by Extinction Rebellion	The Greens are allegedly working to implement their Agenda21 plan, which some believe is a radical environmental agenda that views humans as a disease that needs to be cured.
247	0.1817	0.5350	Jail inmate requests sentence extension due to Sydney's lockdown	A prisoner in Sydney's Long Bay correctional centre requests a sentence extension to avoid lockdowns.
248	0.2891	0.4370	Covid-19 vaccines kill more people then they save	Steve Kirsch, Executive Director of the COVID-19 Early Treatment Fund, testified before the FDA that COVID-19 vaccines may kill more people than they save, and argued that early treatments, such as Ivermectin, are more successful than boosters, citing the low case rates in Uttar Pradesh, India, where Ivermectin is administered.
249	0.2894	0.3538	Plane crash-lands on Nigerian highway	A plane crash-landed in Ikeja, Lagos.
250	0.2902	0.5000	Video of filthy Hajj flight from India	The flight in question is the Haj Flight originating from India.
251	0.2928	0.9456	Pharrell Williams and Blade Nzimande are the same age	Blade Nzimande and Pharrell Williams are the same age.
252	0.1107	0.3221	Biafran flag on Nigerian president’s vehicle	The post uses the Biafra flag on Buhari's vehicle as a metaphor to criticize or mock the Nigerian government's handling of separatist movements.
253	0.1824	0.3875	Video shows Guinean President Alpha Conde attacking a minister	A video shows President Alfa Conde of Guinea physically beating his Chief of Staff.
254	0.2911	0.1825	Image of a large crowd is of a Trump rally in Florida	A incident occurred yesterday in Ocala, Florida, where a significant event was witnessed, as evidenced by a picture that conveyed a substantial amount of information.
255	0.2906	0.1546	Scenes before Modi started plogging at Mamallapuram beach.	PM Modi was filmed cleaning a beach in Mahabalipuram by a 25-member crew yesterday morning.
256	0.2901	0.1550	Face masks are aimed at protecting the wearer from COVID-19	The manufacturer of the ear loop masks explicitly states that their product will not provide protection against COVID-19 or other viruses and contaminants, and wearing it does not reduce the risk of contracting any disease or infection.
257	0.2906	0.4368	Images show reporter beaten by Ugandan police during Bobi Wine rally	A journalist was beaten by Uganda police today for covering Bobi Wine's route to his office.
258	0.2908	0.3354	BC Minister of Health warned against asbestos poisoning when using glory holes	Dr. Bonnie Henry, British Columbia's Provincial Health Officer, warns that using old gypsum boards to make glory holes poses a risk of asbestos exposure and recommends using newer drywall sheets instead.
259	0.2919	0.5667	Queen Elizabeth II bows before Ethiopian Emperor Haile Selassie	Queen Elizabeth II and Prince Philip bowed before King Haile Selassie I and the Queen of Ethiopia, marking a unique instance where they showed such respect to another monarch.
260	0.2928	0.5425	Inshorts screenshot on Kerala couple refusing ambulance with Hanuman sticker	A Kerala couple, M Stalin and his wife Jaycee, refused an ambulance with a Hanuman sticker and subsequently died due to lack of oxygen.
261	0.2940	0.6069	Movie "I Am Legend" is set in 2012	The movie "I Am Legend" depicts a scenario where people turn into zombies in the year 2021 due to faulty vaccines.
262	0.1826	0.4642	Video shows flying trains in China	A train appears to be floating or flying above the tracks in China.
263	0.2941	0.3628	This photo shows Israeli products being banned in Malaysia	Malaysia has banned Israeli products.
264	0.2930	0.0000	Photo shows Covid-19 dead bodies in Indian river in May 2021	बिहार के बक्सर और बीरपुर क्षेत्र में गंगा नदी में लगभग 500 शव तैरते हुए पाए गए, जिनमें से कई कोरोना किट में लिपटे हुए थे, जो उत्तर प्रदेश और बिहार सरकारों की संवेदनहीनता को दर्शाता है।
265	0.1279	0.3074	A floating rock in Jerusalem	The author questions the existence of God by highlighting the unexplained "Floating Rock".
266	0.2925	0.1739	India issues emergency warning over novel coronavirus	The Ministry of Health has issued an emergency notification warning that the Coronavirus outbreak is serious and fatal, with no cure once infected, and advises the public to prevent infection by keeping their throat moist, avoiding crowded places, wearing masks, and loading up on vitamin C.
267	0.2914	0.0000	Philippine health department issues 'Omicron Alert' graphic	The Omicron virus can infect adults and children in 20 seconds, and individuals who have been infected can be re-infected after 3 weeks, potentially leading to more severe outcomes, emphasizing the importance of wearing masks at all times, even at home, to prevent transmission.
268	0.2921	0.4711	American Red Cross does not accept plasma donations from Covid-19 vaccine recipients	The American Red Cross states that individuals who have been vaccinated cannot donate blood plasma because the vaccine eliminates the body's natural antibodies.
269	0.1283	0.3676	Video shows China lifts ban on Korans during COVID-19 pandemic	China lifted its ban on the Quran after the coronavirus outbreak.
270	0.2910	0.2113	Mugabe has computerised coffin	Robert Mugabe's $17 billion casket has been computerized to allow his family to view his remains through their phone devices and features facilities that will prevent decomposition for up to ten years.
271	0.1292	0.4069	“Next week has a time change, full moon and Friday the 13th.”	Bad things happen on Friday the 13th, beware next week.
272	0.1816	0.4536	Video shows attempted robbery at clinic in Malaysia	A photo or video of a clinic in Puchong, Malaysia, showing a crime scene after a foiled armed robbery.
273	0.2897	0.0826	Three carrots give you energy to walk three miles	Following @Dr.Stefan.Gospodinov and @goodhealthy247 provides access to valuable tips and information on fat loss, nutrition, and mindset, including unique health benefits from specific foods such as cucumbers, apples, carrots, and bananas.
274	0.1302	0.4099	Trudeau government plans new home equity tax	The government plans to tax home sales, affecting seniors and subsidized care.
275	0.2885	0.0952	Video shows graphene nanoparticles, which are found in Covid-19 vaccines	Graphene oxide is in motion.
276	0.2880	0.1613	Photo shows empty shelves in Nova Scotia caused by railway blockades	The ongoing illegal blockades in the Maritimes, which are causing shelf shortages, must be ended by the authorities, including the RCMP.
277	0.2874	0.1327	USPS is not losing money and has no debt	The United States Postal Service, which is self-sustaining, costs taxpayers nothing, and employs over 500,000 Americans, including a large number of veterans, should not be privatized.
278	0.2884	0.5452	Kenyan lawyer Gicheru ‘pleads guilty’ at the ICC	Lawyer Paul Gicheru has pleaded guilty at the International Criminal Court (ICC).
279	0.2886	0.3468	Woman gives birth at the age of 103	A 103-year-old woman allegedly gives birth to a baby after years of prayer, fasting, and devotion.
280	0.2896	0.5874	A South African scientist made a “huge medical breakthrough” by successfully removing HIV from a sperm cell in a lab	Lebo Moatshe, a researcher from South Africa, has achieved a medical breakthrough by successfully removing HIV from sperm cells in a laboratory setting, completing 20 semen decontamination procedures with a 100% success rate.
281	0.1314	0.5471	Pfizer CEO is still not vaccinated	Pfizer's CEO is not fully vaccinated, contradicting his product's effectiveness.
282	0.2886	0.0000	https://www.facebook.com/ken.larive/posts/10157559483628404	The discovery of 39 missing kids in a double-wide trailer in Georgia should be a major news story, but it is not receiving the expected level of attention.
283	0.2886	0.2941	Infrastructure bill includes 61 percent tax on assets after a person dies	The Infrastructure Bill allegedly includes a provision that upon death, the entire value of one's accumulated wealth and estate will be taxed at 61%, contradicting claims that it will cost citizens nothing.
284	0.2891	0.4429	Nurse faints after getting a COVID-19 vaccine	A nurse in Tennessee passed out on live TV after receiving the COVID-19 vaccine, despite previously stating its safety.
285	0.2896	0.4139	“In 1983, Joe Biden voted in favor of taxing 50% of Social Security” and in 1993, Biden “was the deciding vote in raising the percentage taxed on Social Security from 50% to 85%.”	According to James Woods, Joe Biden voted to tax 50% of social security in 1983 and later increased it to 85% in 1993, and now he plans to tax 401k's and IRA's as stated on page 78 of the Democrats' platform.
286	0.2887	0.0431	Merriam-Webster changed its definition of anti-vaxxer amid Covid-19 pandemic	The user claims that they are against government overreach, specifically opposing the requirement to hand over medical records or doctor's notes, which they believe is an example of excessive government control.
287	0.2882	0.1366	Twitter, Google and YouTube block users from seeing video of an aerial flame-thrower starting wildland fires	The Heli-Torch, a helicopter-mounted device, is a tactic used to fight brush fires and perform controlled burns, and is also known as a aerial ignition device.
288	0.1299	0.3221	Vaccinated people are at greatest risk from coronavirus Delta variant	Vaccines are ineffective against the Delta variant.
289	0.2897	0.7647	Statues of Winnie Mandela and Oliver Tambo	The construction of statues of Oliver Tambo and Winnie Mandela in Mpumalanga Province cost taxpayers more than R15 million.
290	0.2891	0.1282	The Atlantic published an article about "heroism" of Joe Biden's bike fall	President Biden demonstrated resilience and an important life lesson for Americans by getting back up after falling off his bike.
291	0.2884	0.0877	An image of a woman with an extremely swollen belly shows a mother pregnant with quadruplets.	I am expecting quadruplets and I kindly request your prayers for a healthy pregnancy and successful delivery.
292	0.2890	0.4674	Voter's party affiliation is visible on outside of mail-in ballot	The sleeve for mail-in ballots allegedly indicates the voter's party affiliation to postal workers with either an "R" or "D" designation.
293	0.2890	0.2776	A Canadian hospital has mannequins in its beds instead of Covid-19 patients	According to CBC News, Edmonton's healthcare system is reportedly at capacity, resulting in mannequins being used on ventilators instead of actual patients.
294	0.2884	0.1128	Recent photos of armed robbery suspects under arrest	The police in Osogbo caught a notorious robbery gang from Kogi and Benue State, recovering N7,486,300, three AK47 rifles, 124 rounds of live ammunition, and a Nissan car, after the gang robbed two banks along Ekeinde road in Ikirun, resulting in the loss of lives of some bank officials during the exchange of gunfire.
295	0.2877	0.0898	Aspirin, lemon juice and honey mixture as home remedy for COVID-19	Italian pathologists have found that COVID-19 is not a viral pneumonia, but rather a condition caused by scattered intravascular clotting, or thrombosis, which can be effectively treated with antibiotics, anti-inflammatory, and anticoagulants, and Italy has updated its protocols to reflect this new understanding, resulting in a significant increase in recovery rates.
296	0.1771	0.3233	New York Times published an article praising Indian prime minister Narendra Modi	Narendra Modi, India's Prime Minister.
297	0.1780	0.3094	These photographs show the body of basketball star Kobe Bryant	A photo of Kobe Bryant's funeral or memorial with ashes.
298	0.2876	0.3125	Photo shows a 2015 visit by then-US president Barack Obama, infectious diseases expert Dr. Anthony Fauci and philanthropist Melinda Gates to a laboratory in China’s Wuhan	In 2015, Dr. Fauci, Melinda Gates, and Barack Obama allegedly visited the Wuhan lab, which received $3.7 million for a 'bat' project.
299	0.2878	0.3431	Whistleblower from Dominion claims fraud took place in 2020 election	A whistleblower from Dominion Voting Systems has come forward, claiming the company's software changed 3.8 million votes, allegedly stealing the election for Biden, and is now one of three individuals to have made such allegations.
300	0.2868	0.0000	Photo shows Filipino celebrity John Lapus denouncing communist groups	The user claims that they are against the CPP-NPA-NDF Terrorist Organization and questions if Gabriela or Angel Locsin supports it.
301	0.2860	0.0318	Video shows Singapore’s ruling party placing election poster over opposition party's poster	The user is expressing anger and frustration, stating they are ready to confront and deal with people who play dirty.
302	0.2858	0.2212	CNN back-pedalled and said Trump will win US presidency	CNN reports that President Trump may win the election due to a potential path involving mail-in ballots, competing slates of electors, and Congress discarding electoral votes from disputed states.
303	0.2854	0.1689	An image of a wounded child is from the Russian invasion of Ukraine	The world is plagued by war, particularly in Ukraine, and it is essential to pray fervently for God's protection and peace for all affected children of God.
304	0.2866	0.6511	the wrong vaccines turned people into zombies in 2021 in the movie i am legend	The movie "I Am Legend" depicts a scenario where people turn into zombies in 2021 due to faulty vaccines.
305	0.2874	0.5373	The movie “I am Legend” was based in the year 2021 and people turned into zombies “because of the wrong vaccine.”	The movie "I Am Legend" depicts a scenario where people turn into zombies in the year 2021 due to faulty vaccines.
306	0.1773	0.3024	Henry Kissinger made these pro-Trump remarks	Photo of Henry Kissinger and Donald Trump.
307	0.2873	0.3750	This is a photo of Chris Wallace and Jeffrey Epstein	Chris Wallace was present at Jeffrey Epstein's island.
308	0.2868	0.1163	Image shows authentic media release announcing extension of Sydney lockdown	The lockdown in Greater Sydney, including Central Coast, Blue Mountains, Wollongong, and Shellharbour, will be extended until 11:59pm on 30 December 2021 due to the ongoing number of infectious cases in the community.
309	0.2875	0.4970	Leni Robredo campaign rally is biggest in Philippine history	According to the Associated Press, VP Leni Gerona Robredo's proclamation rally at Plaza Quezon in Naga City on February 8, 2022, drew an estimated crowd of 200,000 to 600,000 people, making it the biggest campaign rally in Philippine politics history.
310	0.1265	0.3006	Photo shows final moments of Genepil, last Mongolian queen	Stalin's regime brutally executed Mongolia's last queen, Genepil, in 1938.
311	0.1111	0.5671	Human-generated CO2 is an insignificant contributor to climate change	The post accuses the EPA of deceiving the public by excluding water vapor from its greenhouse gas pie chart, thereby exaggerating CO2's role, and claims that man-made CO2 is an insignificant contributor to global temperature and climate.
312	0.2881	0.6161	UNESCO declared Islam ‘most peaceful religion in world'	UNESCO has declared Islam as the most peaceful religion in the world after a six-month study in partnership with the International Peace Foundation.
313	0.2886	0.4598	Images showing dead fish on beaches following Tonga volcano	A large number of dead fish and crabs were found after the Tonga volcano eruption.
314	0.1767	0.3453	A 1922 report disproves human-caused global warming	A 1922 newspaper article about Arctic warming and ice melt.
315	0.2890	0.4920	South African police confiscate food meant for white people	On May 3, 2020, the South African police prevented a church from delivering 200 food parcels to a white squatter camp in Pretoria, confiscating the parcels and fining the church R10,000, allegedly because no food was allowed to be delivered to white people.
316	0.2893	0.3571	Crocodile in a Mumbai drain	A crocodile was found in an open nala in Mumbai.
317	0.2898	0.4529	Olympic fireworks were set off under Mount Fuji as they could not be stored till 2021 Tokyo Olympics.	The Olympic fireworks, initially intended for the 2020 Japan Olympics, were set off in advance under Mount Fuji due to storage limitations and the postponement of the games caused by the COVID-19 pandemic.
318	0.2912	0.7324	Members of US Congress raised their own salaries nine times over the last 18 years, increased federal minimum wage only once	Congress has raised the minimum wage only once in the last 18 years, while increasing their own salaries nine times during the same period.
319	0.2909	0.2166	Flu shot is free and should be regarded as suspicious	The medical industry provides flu shots for free, often incentivized with gift cards, while not offering the same for life-saving medications like EpiPens or insulin.
320	0.2907	0.2083	Video shows Afghanistan woman stoned to death in November 2021	The Taliban in Afghanistan is subjecting people to horrifying punishments, including stoning a woman, without disclosing their alleged crimes, amidst a disturbing lack of international intervention.
321	0.2900	0.0893	Girl pictured in Indian-administrated Kashmir after India revokes its autonomy	The user claims that a woman feels safe in Kashmir, amidst expressions of national unity and reference to Article 370.
322	0.2903	0.3740	US plans to ban real meat from 2024	The U.S. Food and Drug Administration is reportedly planning to ban the sale of real meat, with the ban allegedly set to take effect on April 1, 2024, which may be followed by similar decisions in other countries.
323	0.2902	0.2485	Israeli soldier arrests child during Gaza fighting in June 2021	An Israeli soldier attempted to arrest a Palestinian child by sitting on him, causing suffocation and exacerbating the child's pain from a broken hand, before the child's family intervened to free him.
324	0.2901	0.2584	Video shows a truck driving into moving helicopter blades in Amritsar, in India's Punjab state	A truck and helicopter were involved in an accident in Amritsar.
325	0.2903	0.3507	Image shows Prince Philip ‘pranking’ the Queen	Prince Phillip is known to prank the Queen.
326	0.2914	0.6642	Picture of doctors and nurses who died in Italy due to coronavirus.	More than 200 doctors and nurses have died in Italy due to the COVID-19 virus.
327	0.2906	0.0420	Image shows Pakistani plane moments before crash in Karachi in May 2020	A photo was taken before the landing of flight PK-320.
328	0.2916	0.6098	Man-made CO2 is an insignificant contributor to climate change	Here is the standardized claim in one sentence: Man-made CO2 constitutes only 0.1 to 0.2% of atmospheric greenhouse gases, making it an insignificant contributor to global temperature and climate, despite its often-exaggerated role in the greenhouse effect.
329	0.2910	0.0893	Trump posted this tweet about H1N1 pandemic in 2009	Donald Trump claims that former President Obama's handling of the pandemic was terrible and that as President, he would have taken responsibility to prevent thousands of American deaths.
330	0.2911	0.3328	The government of Ondo in southwestern Nigeria halved the state's debt in three years	The Ondo State Government has reduced the N220 billion debt inherited from the previous PDP administration by over 50% and increased the state's Internally Generated Revenue from N700 million to over N1 billion monthly.
331	0.2906	0.1250	Nasir el-Rufai says Buhari knows who is behind Zamfara killings	According to El-Rufai, President Buhari is aware of the attackers and sponsors of Herdsmen and Boko Haram attacks and receives relevant information from security agencies to take action.
332	0.2912	0.4711	Costco bath tissue recall	Costco has issued a recall of Kirkland Signature bath tissue due to potential contamination with COVID-19, and is offering a partial refund to customers who return the affected product.
333	0.1254	0.3468	News blocked on Facebook in Australia in October 2021	Australia's government is restricting news sharing on Facebook.
334	0.1778	0.3358	This photo shows the Italian president crying over COVID-19	A photo of Italy's president crying, overwhelmed by COVID-19 deaths.
335	0.2916	0.8067	National Flag at Lal Chowk	The Indian national flag was hoisted at Lal Chowk in Srinagar on Independence Day.
336	0.2908	0.0442	Video shows Seoul rally against coronavirus restrictions in August 2020	A huge anti-coronavirus demonstration was held at Gwanghwamun, the center of Seoul, South Korea, amidst Independence Day celebrations yesterday.
337	0.2914	0.4709	Kidnappers of Nigerian students arrested	The Nigerian army and police officers have successfully caught the kidnappers of Greenfield University students with the collected ransom, earning respect for their efforts to eliminate kidnapping and banditry from the country.
338	0.2912	0.2564	Russian, Spanish airlines are telling COVID-19 vaccinated people to not fly	Airlines in Spain and Russia are warning that people who have been vaccinated against COVID-19 may be at risk of blood clots during air travel and are advising them to avoid flying, a concern also echoed by the American CDC for long-distance flights over four hours.
339	0.2912	0.2748	List of Biden accomplishments is true	The claim that Joe Biden was a war hero, rescued his regiment, captured enemy soldiers, and achieved various academic and professional accomplishments is entirely false and was intentionally fabricated to test Facebook's fact-checking capabilities.
340	0.2923	0.6524	Accurate representation of total vaccinations a baby born in 2019 receives	A baby born in 2019 is scheduled to receive a significant number of vaccines, which some people believe is excessive and potentially harmful to their health.
341	0.2925	0.3583	Rare picture of the Venusian surface taken by Venera 13	The Soviet Venera 13 mission captured a clear photo of Venus' rocky surface, which remains the only clear image ever taken from the planet's surface.
342	0.2926	0.3467	News Headlines on white supremacy links to GameStop stock rise	Here is the standardized claim in one sentence: The WallStreetBets campaign targeting institutional investors on Reddit has been linked to lingering white supremacy issues, according to a hedge fund manager.
343	0.2933	0.5288	Pelosi travels weekly to California on a 200-seat Boeing that costs millions annually in fuel	Speaker Pelosi travels home to California every week on a 200-seat Boeing 757, incurring a round-trip fuel cost of $120,000, which totals $5,760,000 annually, excluding crew expenses.
344	0.2933	0.3064	Overworked funeral home employee accidentally cremated during COVID-19 crisis	An employee of a New York Funeral and Cremation Service was accidentally cremated by a coworker, resulting in their death.
345	0.2936	0.3985	Arizona parents ousted school board over mask mandate	Hundreds of parents in Vail, Arizona, attended a school board meeting, protested mask mandates, and successfully replaced board members, resulting in the immediate removal of mask mandates for schools.
346	0.1778	0.3431	Unsafe Covid-19 vaccines not sold in Western countries	Photo of Covid-19 vaccine packaging with "Not for distribution in US, EU, and Canada" labels.
347	0.2935	0.2345	USA police arrest south Sudanese not knowing he is FBI agent	A police officer racially profiled an undercover FBI agent.
348	0.2929	0.0855	ICC sends cautionary letter to Kenyan politician	The International Criminal Court expresses deep concern over the use of derogatory terms and incitement to violence in Kenya, warning that such rhetoric can lead to devastating consequences, including ethnic violence, displacement, and human rights abuses, and urges Kenyan leaders to promote inclusion and respect for democratic choices.
349	0.2933	0.4483	People vaccinated against Covid-19 should avoid MRI scans	Dr. Afzal Niaz warns that individuals who have been vaccinated should avoid MRI scans, particularly in the first few weeks, as the electromagnetism produced by the scans has severely affected some people, resulting in death in extreme cases.
350	0.2930	0.1974	Video shows flooding at Karachi airport in July 2022	The claim is that the report is being broadcast live from Karachi Airport.
351	0.1784	0.3979	Photo shows an actual fountain in Japan	A fountain in Japan shaped like a woman's head.
352	0.2933	0.5174	CDC said cigarette smoking doesn't cause cancer in 1958	The CDC has made statements denying links between certain habits and diseases, specifically that cigarette smoking does not cause cancer in 1958 and vaccines do not cause autism in 2012.
353	0.2950	0.8661	Foot Locker donated $200 million to Black Lives Matter	Foot Locker donated $200 million to the Black Lives Matter movement, despite their stores in Minneapolis being looted by alleged BLM protesters.
354	0.2942	0.0316	Healthy people under 50 or recovered from Covid-19 do not need the vaccine	Dr. Peter McCullough, MD, MPH, testified before the Texas State Senate Committee on Health and Human Services that he refuses to let patients languish at home without treatment and then be hospitalized when it's too late.
355	0.2939	0.1724	Photo shows aftermath of Beirut, Lebanon blast in August 2020	The explosion in Beirut, Lebanon was caused by 2,750 tons of ammonium nitrate, a highly explosive substance that can decompose rapidly into nitrous oxide and water vapor when exposed to an ignition source, which had been left in a warehouse for decades.
356	0.2939	0.3024	Migrant workers stopped at Delhi-Uttar Pradesh state border during COVID-19 lockdown in India	Migrants returning home were initially stopped at the Delhi-UP Border in Ghazipur, but they later entered Uttar Pradesh by breaking through barricades.
357	0.2942	0.3845	New Australian law passed in Parliament which revokes licenses from drivers who touch their phone	In Australia, drivers who touch their phone while driving or with the engine running will have their license revoked for three months, with no exceptions, unless they safely park and turn off the engine or use their car's Bluetooth.
358	0.2938	0.1803	PEP Stores recruiting workers in South Africa	Pep Stores is offering a learnership programme for 2022 with a available stipend, requiring applicants to have a Grade 10 qualification and a passion for fashion and retail, and interested candidates can apply online at https://bit.ly/Pep-Learnership-Application.
359	0.1792	0.3413	Photo shows a 2015 visit by then-US president Barack Obama, infectious diseases expert Dr. Anthony Fauci and philanthropist Melinda Gates to a laboratory in China’s Wuhan	A photo allegedly shows Dr. Fauci, Melinda Gates, and Barack Obama at the Wuhan lab in 2015.
360	0.2937	0.3354	The US Food and Drug Administration has approved a Pfizer monkeypox vaccine	The United States Government purchased 13 million MonkeyPox vaccines for $119 million and Pfizer received FDA approval for a new MonkeyPox vaccine within 48 hours of a single case being reported in Massachusetts.
361	0.2935	0.1998	South Africa’s President Ramaphosa dancing like he’s on drugs	President Cyril Ramaphosa's behavior, including dancing like Nyaope Boys, is perceived as embarrassing and has led to the country being ridiculed by other nations, with some considering his "Thuma Mina" initiative to be nonsensical.
362	0.2940	0.4901	Video shows made-in-China robot dancers at Shanghai Disneyland	Robots made in China perform a 5-minute dance show at Shanghai Disneyland for a price of 499 Yuan.
363	0.1805	0.4505	Arizona canvassing results prove election irregularities in Maricopa County	Image of a post about the Arizona audit, showing 32.4% lost votes in Maricopa County.
364	0.1812	0.3094	These photographs show the body of basketball star Kobe Bryant	A photo of Kobe Bryant with a caption mourning his death.
365	0.2936	0.3254	Canada adopts Chinese-style social credit system	The Government of Canada website features information on China's Corporate Social Credit System, which is a system developed to ensure corporate compliance and improve company behavior, sparking concern that it may be implemented in other countries, including Canada.
366	0.1820	0.3288	Photo shows basketball legend Kobe Bryant’s body	A photo or video of Kobe Bryant's lifeless body after a helicopter crash.
367	0.2941	0.5343	US special forces seized Nancy Pelosi's laptop during the storming of the Capitol	Lt. General Thomas McInerney claims that special forces retrieved Nancy Pelosi's laptop during the Capitol breach, causing her to frantically push for Trump's impeachment.
368	0.2945	0.4209	American Red Cross does not accept plasma donations from Covid-19 vaccine recipients	The American Red Cross states that individuals who have received a vaccine are ineligible to donate blood plasma because the vaccine eliminates the body's natural antibodies.
369	0.2945	0.3179	Potassium chloride in vaccines is dangerous	The Centers for Disease Control and Prevention (CDC) lists various vaccine ingredients, including aluminum, formaldehyde, and human albumin, which have raised concerns due to their potential toxicity and origins, and some vaccines, such as Influenza, MMRV, and Varicella, contain ingredients like potassium chloride, which is also used in lethal injections.
370	0.1837	0.4907	Video shows Indian soldiers crying after Galwan border clashes with China in June 2020	A video shows Indian soldiers crying after being beaten by Chinese forces in Ladakh.
371	0.1845	0.3348	Adding a stamp will expedite US mail-in ballots with pre-paid postage	A ballot with a stamp to upgrade USPS handling to first class.
372	0.2932	0.1240	These photos show the throats of COVID-19 patients	According to Dr. LeGrand, COVID-19 symptoms include high fever, severe cough, breathing difficulties, and extreme fatigue, which can lead to hospitalization, isolation, and potentially life-threatening complications, emphasizing the importance of staying at home to prevent the spread of the disease.
373	0.2931	0.2604	Attempted child abduction at SA mall	A foreign man attempted to abduct a child from a father's arms at N1 City Mall, allegedly for a reward of R3000, prompting a warning to parents to remain vigilant and keep their children attended at all times.
374	0.2935	0.4416	Donald Trump officially created a Patriot Party	According to a Federal Election Commission filing, Donald Trump has filed paperwork to establish the "Patriot Party", but a subsequent announcement on January 24th reportedly rescinded this decision, although confirmation is pending.
375	0.2930	0.0820	Moving “corpses” expose deaths staged by Hamas	A video allegedly produced in Gaza studios, referred to as "Palywood," appears to show fake or staged scenes of dead Hamas terrorists and Palestinian martyrs, suggesting that the footage is fabricated and intended to deceive.
376	0.2936	0.5204	Photo shows people practicing Indian culture in New Zealand	The importance of Indian culture is highly valued in New Zealand.
377	0.2938	0.3689	Image of ‘Earth, Jupiter and Venus’ as seen from Mars	The planets Earth, Venus, and Jupiter are visible from Mars.
378	0.2937	0.2710	This video shows Muslims were buried alive by workers of the Bharatiya Janata Party (BJP).	It is alleged that members of the Indian BJP and RSS buried Muslims alive.
379	0.2933	0.1190	This video shows landslide in north-eastern India.	A landslide has occurred somewhere on the Guwahati to Shillong road.
380	0.2938	0.5017	Facebook post says a woman called “Lebo Moatshe” and has “successfully removed HIV from a sperm cell in a lab”	Lebo Moatshe, a researcher from South Africa, has achieved a medical breakthrough by successfully removing HIV from sperm cells in a lab, completing 20 semen decontamination procedures with a 100% success rate.
381	0.2946	0.5853	Photo shows Ice Cube and 50 Cent wearing Donald Trump hats.	Rappers 50 Cent and Ice Cube have publicly endorsed Donald Trump.
382	0.2947	0.3546	LPG cylinder’s expiry date	LPG gas cylinders have an expiry date, which is coded alpha-numerically on the side stem, and cylinders with expired dates should be returned as they are prone to leaks and hazardous accidents.
383	0.2952	0.4840	Photo of woman who gave birth to 17 babies	Catherine Bridge holds the world record for giving birth to 17 babies, all of whom are boys.
384	0.2948	0.1327	ND TV reveals that Ex PM gave money to "the Hindu" reporter to publish about possible LTTE attack to Sri Lanka	Mahinda Rajapaksa is allegedly funding a Hindu reporter to spread false information about the resurgence of the LTTE.
385	0.2942	0.0476	Alternative natural treatments to cure serious health conditions	Coconut water is a sterile liquid with an electrolytic balance similar to human blood, making it a suitable emergency substitute for plasma, as utilized by medics in World War II.
386	0.2939	0.1773	This video has circulated in reports about a woman arrested for pouring soup on a stranger in Singapore	In Singapore, individuals who do not wear a mask will be arrested without question.
387	0.2940	0.3606	Sex traffickers are using $100 bills to lure victims in American cities	A woman at Northgate mall found a $100 bill wrapped with a red ribbon on her car door handle, which the police warned could be a ploy used by sex traffickers to kidnap women and children, and advised her not to touch it as it may be laced with a substance that can cause drowsiness.
388	0.2939	0.2315	Photo shows Northern Lights captured by NASA	The Northern Lights can be seen from space, offering a breathtaking view of this natural phenomenon.
389	0.2937	0.2447	Coronavirus gone in South Korea and under control in Japan, restrictions in Philippines are too relaxed	The Philippines lacks discipline and unity, unlike other countries such as South Korea, China, and Japan, where people followed government guidelines and controlled the virus, and this lack of discipline and unity hinders the country's progress.
390	0.2933	0.1342	This photo shot from space by a NASA satellite shows the Australian bushfires	The photo, which appears to show Australia as "hell on Earth", is actually an image of summer fires that have mostly been extinguished, not current ones.
391	0.2928	0.0877	White trails behind flying aircraft are chemtrails that spread Covid-19	There is a claimed correlation between the surge in COVID-19 infections and the increased presence of chemtrails in areas with higher infection rates.
392	0.2935	0.5500	A video showing a tsunami in Darwin, Australia	A tsunami struck Darwin, Australia.
393	0.2930	0.1031	Brazilian politician furious over nonexistent COVID-19 patients	Members of Parliament in Brazil investigated a hospital that reported 5,000 COVID-19 infections and 200 deaths, and found no patients sick with the disease, suggesting the hospital had provided false information.
394	0.1201	0.4267	Person in this video is chief of Taliban praising India's BJP and RSS	The author expresses nationalistic pride in India's BJP and RSS.
395	0.2938	0.6607	Japan's Kowa says ivermectin effective against Omicron in phase III trial	According to a Phase III trial by Japan's Kowa, the anti-parasite drug ivermectin has been found effective in treating the Omicron variant of COVID-19.
396	0.2930	0.0000	DC police escorted Antifa into capital	An incident occurred at Washington, D.C.
397	0.1825	0.6593	Snowfall in holy Islamic city of Medina, Saudi Arabia	A photo or video of snowfall in Medina, Saudi Arabia.
398	0.2934	0.6371	Video shows American soldiers arriving in Ukraine	American soldiers are present in Ukraine.
399	0.2935	0.3221	Image shows Trump's letter to Biden	The note allegedly left by Donald Trump for Joe Biden at the White House reads: "Joe, you know I won," reflecting Trump's claim of being the true victor.
400	0.2928	0.0000	Video shows sinking ship in Singapore	An incident occurred at OPL Anchorage, facing Tuas.
401	0.2924	0.1596	CNN reported US sending troops to Haiti	President Joe Biden has authorized a U.S. intervention in Haiti, deploying 10,000 US soldiers to protect American interests and stabilize the country after the assassination of President Jovenel Moise.
